Product Description	Price	Prime Status	Product URL	Stars	Number of Reviews
Schede Grafiche AMD per Radeon HD7670, 4GB GDDR5 Computer PC Gaming Video GPU Scheda Grafica, 128-Bit, Supporto DirectX 11 PCI Express X16 2.1 DVI, HDMI, VGA	51,	Non-Prime	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozNzQ2Nzc0NzI0Mzc0Njc3OjE2OTk1NDc3MjI6c3BfYXRmOjIwMDk1MTQ1NDkzMDk4OjowOjo&url=%2FGrafiche-Computer-Grafica-128-Bit-Supporto%2Fdp%2FB0BGM23YML%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgpu%26qid%3D1699547722%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	3,1 su 5 stelle	21
Scheda Grafica per PC, Scheda Grafica da Gioco 8GB GDDR5 256bit 1284/7000MHz PCIE 3.0, Scheda Grafica GPU 1080P con Porta HDMI/DP/DVI, Raffreddamento a Doppia Ventola(RX-580)	145,	Prime	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozNzQ2Nzc0NzI0Mzc0Njc3OjE2OTk1NDc3MjI6c3BfYXRmOjIwMTE3NjI3MTg0MTk4OjowOjo&url=%2FScheda-Grafica-7000MHz-Raffreddamento-Ventola%2Fdp%2FB0BN8VHGR6%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgpu%26qid%3D1699547722%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	2,9 su 5 stelle	4
Scheda Grafica RX 580, Scheda Grafica GDDR5 da 8 GB con GPU 1284 MHz, 60 Hz 4K, PCI Express 3.0, 2 Ventole di Raffreddamento, Scheda Grafica da Gioco per CAD 3D, CAM, Editing Video e Immagini	120,	Non-Prime	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozNzQ2Nzc0NzI0Mzc0Njc3OjE2OTk1NDc3MjI6c3BfYXRmOjMwMDAwNTcxNzQ4NDQzMjo6MDo6&url=%2FGrafica-Express-Ventole-Raffreddamento-Immagini%2Fdp%2FB0BHWXNCH4%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dgpu%26qid%3D1699547722%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	3,6 su 5 stelle	42
NVIDIA Tesla K10 Dual GPU PCIE Module 8 GB Scheda video	3.198,	Non-Prime	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozNzQ2Nzc0NzI0Mzc0Njc3OjE2OTk1NDc3MjI6c3BfYXRmOjIwMDgxMDQ5MDM1Mzk4OjowOjo&url=%2FNVIDIA-Tesla-Module-Scheda-video%2Fdp%2FB08CXMTB72%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dgpu%26qid%3D1699547722%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	3,3 su 5 stelle	2
ASUS DUAL NVIDIA GeForce RTX 4060 OC Edition Scheda Grafica, 8 GB GDDR6 128-bit 17 Gbps PCIE 4.0, GPU Tweak III, DUAL-RTX-4060-O8G	349,	Non-Prime	https://www.amazon.it/ASUS-GeForce-Grafica-128-bit-DUAL-RTX-4060-O8G/dp/B0C8JT7K1M/ref=sr_1_5?keywords=gpu&qid=1699547722&sr=8-5	4,5 su 5 stelle	53
Gigabyte NVIDIA GeForce RTX 3060 GAMING OC V2 Scheda grafica - 12GB GDDR6, 192-bit, PCI-E 4.0, 1837MHz Core Clock, RGB, 2x DP 1.4, 2 x HDMI 2.1, NVIDIA Ampere - GV-N3060GAMING OC-8GD	328,	Non-Prime	https://www.amazon.it/Gigabyte-GeForce-3060-GAMING-V2/dp/B096Y2TYKV/ref=sr_1_6?keywords=gpu&qid=1699547722&sr=8-6	4,7 su 5 stelle	1.140
MSI Radeon RX 6650 XT MECH 2X 8G OC Scheda Video - AMD RX 6650 XT, GPU 2447/2669 MHz, 8000 MB di Memoria DDR6, Velocità di Memoria 17500 MHz, Bus di Memoria 128bit	289,	Non-Prime	https://www.amazon.it/MSI-Radeon-6650-MECH-GDDR6/dp/B09YHXT12P/ref=sr_1_7?keywords=gpu&qid=1699547722&sr=8-7	4,6 su 5 stelle	2.047
Nuwo Scheda Grafica GT730 NVIDIA GeForce GT 730, 2 GB DDR3, 128 bit, 700MHz, Scheda Video GPU a Basso Profilo per PC Gaming, DVI, HDMI, VGA, PCI Express 2.0, Supporta DirectX 11, Bulk	49,	Prime	https://www.amazon.it/Nuwo-Grafica-GeForce-Profilo-Supporta/dp/B0C6MZ6QMQ/ref=ice_ac_b_dpb?keywords=gpu&qid=1699547722&sr=8-8	4,3 su 5 stelle	36
Gigabyte NVIDIA GeForce RTX 4060 GAMING OC Scheda grafica - 8GB GDDR6, 128-bit, PCI-E 4.0, 2550MHz Core Clock, 2x DP 1.4, 2x HDMI 2.1a, NVIDIA DLSS 3 - GV-N4060GAMING OC-8GD	367,	Prime	https://www.amazon.it/Gigabyte-NVIDIA-GeForce-GAMING-grafica/dp/B0C8ZS7N73/ref=sr_1_9?keywords=gpu&qid=1699547722&sr=8-9	4,6 su 5 stelle	23
ASUS Phoenix AMD Radeon RX 550 Scheda Grafica, 4GB GDDR5, PCIe 3.0, HDMI, DisplayPort, DVI-D, Resistenza Alla Polvere IPX5, Ventole con Doppio Cuscinetto a Sfera, Tecnologia Auto-Extreme, Nero	112,	Prime	https://www.amazon.it/ASUS-DisplayPort-Resistenza-Cuscinetto-Auto-Extreme/dp/B089WFBK4H/ref=sr_1_10?keywords=gpu&qid=1699547722&sr=8-10	4,6 su 5 stelle	241
