Price,Stars,Number of Reviews,cluster
51.0,3.1,21.0,0
145.0,2.9,4.0,0
120.0,3.6,42.0,0
3198.0,3.3,2.0,0
349.0,4.5,53.0,0
328.0,4.7,1140.0,0
289.0,4.6,2047.0,0
49.0,4.3,36.0,0
367.0,4.6,23.0,0
112.0,4.6,241.0,0
346.0,4.6,1160.0,0
244.0,4.5,35.0,0
371.0,4.7,230.0,0
51.0,4.3,410.0,0
257.0,4.4,4.0,0
318.0,4.5,242.0,0
79.0,4.8,6.0,0
693.0,4.7,30.0,0
179.0,4.1,76.0,0
59.0,4.4,342.0,0
5.0,5.0,3.0,0
666.0,4.6,463.0,0
315.0,5.0,4.0,0
6.0,4.7,145.0,0
140.0,3.7,56.0,0
473.0,4.4,125.0,0
317.0,4.5,526.0,0
80.0,4.4,810.0,0
132.0,4.2,95.0,0
219.0,4.6,2519.0,0
,3.9,15.0,0
379.0,4.6,660.0,0
25.0,0.0,0.0,0
150.0,5.0,1.0,0
11.0,0.0,0.0,0
10.0,4.5,3876.0,0
283.0,4.3,154.0,0
669.0,4.4,63.0,0
22.0,5.0,1.0,0
,4.5,2.0,0
592.0,4.7,171.0,0
144.0,0.0,0.0,0
7.0,4.6,134.0,0
7.0,4.6,128.0,0
36.0,4.3,2074.0,0
89.0,4.5,2003.0,0
7.0,0.0,0.0,0
7.0,4.4,99.0,0
307.0,4.6,306.0,0
17.0,4.5,122.0,0
129.0,4.2,149.0,0
270.0,4.5,1047.0,0
229.0,4.4,330.0,0
148.0,4.1,98.0,0
8.0,4.6,397.0,0
17.0,0.0,0.0,0
39.0,4.2,7.0,0
8.0,4.4,8.0,0
179.0,3.0,4.0,0
46.0,4.5,7062.0,1
129.9,3.8,443.0,0
185.19,3.6,3.0,0
120.17,3.6,42.0,0
135.97,0.0,0.0,0
76.89,4.6,5.0,0
283.14,4.3,154.0,0
741.19,4.5,68.0,0
88.95,4.5,2003.0,0
15.99,4.2,892.0,0
13.99,4.5,706.0,0
11.99,4.6,216.0,0
11.99,4.5,1962.0,0
7.99,0.0,0.0,0
6.99,4.7,145.0,0
592.37,4.7,171.0,0
19.99,4.2,99.0,0
5.99,5.0,3.0,0
268.68,4.6,921.0,0
19.99,4.3,1236.0,0
82.99,4.2,94.0,0
1405.99,4.3,266.0,0
377.89,4.6,585.0,0
17.99,4.5,122.0,0
307.0,4.6,306.0,0
590.23,4.4,68.0,0
315.86,4.5,189.0,0
,4.5,2.0,0
2096.84,4.5,200.0,0
1431.03,5.0,4.0,0
13.99,4.6,665.0,0
,4.1,301.0,0
,4.4,70.0,0
7.99,4.2,28.0,0
1730.99,4.4,7.0,0
187.39,4.5,472.0,0
,4.3,9.0,0
89.95,4.5,2003.0,0
11.59,0.0,0.0,0
25.99,0.0,0.0,0
150.21,5.0,1.0,0
39.99,4.2,7.0,0
544.8,5.0,3.0,0
89.0,3.8,82.0,0
5998.0,0.0,0.0,2
975.22,4.5,115.0,0
1439.51,4.6,26.0,0
121.89,5.0,1.0,0
1079.23,4.7,175.0,0
85.79,4.5,40.0,0
15.99,4.4,618.0,0
20.76,0.0,0.0,0
39.94,0.0,0.0,0
2.99,3.8,9.0,0
124.17,5.0,1.0,0
11.99,4.2,892.0,0
32.99,3.2,14.0,0
454.98,4.3,21.0,0
36.89,4.3,2074.0,0
389.9,4.7,117.0,0
11.99,4.5,1962.0,0
512.15,5.0,13.0,0
1129.0,4.2,285.0,0
8.99,4.4,8.0,0
179.36,3.0,4.0,0
46.95,4.5,7062.0,1
7.0,4.2,28.0,0
7.0,4.7,145.0,0
57.0,1.0,1.0,0
212.0,5.0,1.0,0
1703.0,4.7,53.0,0
299.0,4.5,237.0,0
21.0,4.4,97.0,0
164.0,5.0,2.0,0
1615.0,5.0,4.0,0
7.0,4.6,134.0,0
7.0,4.0,5.0,0
137.0,4.8,1699.0,0
110.0,0.0,0.0,0
7.0,4.6,128.0,0
8.0,4.2,244.0,0
16.0,4.3,182.0,0
11.0,4.2,90.0,0
8.0,4.6,397.0,0
13.0,4.5,706.0,0
316.0,4.6,1819.0,0
10.0,4.6,42.0,0
239.0,4.2,40.0,0
8.0,4.6,3.0,0
19.0,3.5,4.0,0
45.0,3.6,30.0,0
7.0,4.6,265.0,0
38.0,4.5,333.0,0
8.0,4.4,58.0,0
76.0,4.4,20.0,0
41.0,0.0,0.0,0
22.0,5.0,1.0,0
22.0,4.3,38.0,0
45.0,3.2,19.0,0
59.0,3.1,23.0,0
26.0,3.0,1.0,0
208.0,3.6,5.0,0
,4.1,2.0,0
47.0,4.2,71.0,0
9.0,4.3,36.0,0
17.0,3.3,26.0,0
7.0,4.4,99.0,0
8.0,0.0,0.0,0
20.0,4.6,219.0,0
43.0,4.1,22.0,0
11.0,4.4,176.0,0
27.0,4.2,16.0,0
22.0,0.0,0.0,0
8.0,4.6,3985.0,0
27.0,3.2,13.0,0
19.0,4.0,22.0,0
13.0,4.7,11.0,0
11.0,4.5,117.0,0
32.0,4.4,62.0,0
7.0,0.0,0.0,0
19.0,4.8,39.0,0
9.0,4.3,355.0,0
138.0,3.6,3.0,0
38.0,3.6,180.0,0
37.0,4.0,245.0,0
220.0,0.0,0.0,0
1719.0,4.7,2.0,0
389.99,3.2,20.0,0
18.99,4.3,119.0,0
178.4,3.6,14.0,0
13.99,4.5,706.0,0
22.99,4.1,44.0,0
8.99,4.4,58.0,0
88.95,4.5,2003.0,0
13.99,4.5,706.0,0
15.99,4.2,892.0,0
11.99,4.4,311.0,0
11.99,4.6,216.0,0
7.69,4.4,99.0,0
9.49,5.0,3.0,0
16.55,4.3,182.0,0
38.99,3.6,180.0,0
76.89,4.4,20.0,0
17.99,3.3,26.0,0
41.85,0.0,0.0,0
9.99,4.3,36.0,0
22.69,4.3,38.0,0
7.99,4.4,25.0,0
6.59,4.4,49.0,0
8.99,4.6,3.0,0
11.59,4.6,216.0,0
8.42,0.0,0.0,0
11.88,4.4,9.0,0
19.38,0.0,0.0,0
16.3,5.0,2.0,0
8.35,4.6,3985.0,0
7.99,0.0,0.0,0
43.99,4.1,22.0,0
19.99,4.0,22.0,0
11.99,4.4,176.0,0
13.59,4.7,11.0,0
10.99,4.5,244.0,0
27.99,4.2,16.0,0
110.21,3.0,3.0,0
12.88,4.7,21.0,0
140.29,3.0,1.0,0
132.17,3.3,7.0,0
389.99,3.2,20.0,0
26.99,0.0,0.0,0
23.99,4.5,114.0,0
29.99,4.0,19.0,0
27.67,3.2,13.0,0
19.99,4.8,39.0,0
21.99,4.5,16.0,0
9.99,4.3,355.0,0
29.98,4.3,119.0,0
13.99,4.6,129.0,0
16.99,4.5,2141.0,0
32.95,4.4,62.0,0
9.48,4.4,71.0,0
25.99,4.7,533.0,0
46.04,3.9,4.0,0
11.99,4.5,117.0,0
12.29,4.4,2703.0,0
5.99,4.6,10307.0,1
12.95,5.0,2.0,0
6.88,4.3,26.0,0
39.94,0.0,0.0,0
274.99,5.0,1.0,0
14.98,4.8,12.0,0
38.99,3.9,722.0,0
148.0,4.1,98.0,0
14.0,4.5,69.0,0
93.0,5.0,1.0,0
140.0,3.7,56.0,0
13.0,4.6,129.0,0
19.0,3.8,5.0,0
409.0,4.8,40.0,0
88.0,4.5,2003.0,0
13.0,4.5,706.0,0
15.0,4.2,892.0,0
11.0,4.6,216.0,0
7.0,4.7,145.0,0
7.0,0.0,0.0,0
22.0,0.0,0.0,0
22.0,3.7,73.0,0
27.0,4.0,88.0,0
8.0,0.0,0.0,0
10.0,4.2,104.0,0
35.0,0.0,0.0,0
,4.5,182.0,0
89.0,4.0,43.0,0
9.0,5.0,5.0,0
16.0,4.4,19.0,0
11.0,4.6,79.0,0
29.0,4.3,1401.0,0
8.0,4.6,56.0,0
22.0,0.0,0.0,0
69.0,3.9,112.0,0
793.0,4.7,180.0,0
,4.5,121.0,0
179.0,4.7,1744.0,0
321.0,4.0,2.0,0
17.0,4.4,23.0,0
21.0,4.6,58.0,0
51.0,3.1,21.0,0
3251.0,4.3,31.0,0
11.0,4.6,52.0,0
104.0,5.0,1.0,0
52.0,0.0,0.0,0
2459.0,4.0,6.0,0
46.0,5.0,2.0,0
10905.0,4.6,3.0,2
65.0,3.7,18.0,0
24.0,5.0,5.0,0
13.0,4.6,32.0,0
8.0,0.0,0.0,0
25.0,5.0,2.0,0
10.0,0.0,0.0,0
179.0,4.3,59.0,0
44.0,4.7,449.0,0
19.0,4.5,58.0,0
31.0,5.0,1.0,0
17.0,4.5,57.0,0
6.0,4.6,11741.0,1
23.0,4.6,112.0,0
