Price,Stars,Number of Reviews,cluster
51.0,3.1,21.0,1
145.0,2.9,4.0,2
120.0,3.6,42.0,2
3198.0,3.3,2.0,2
349.0,4.5,53.0,2
328.0,4.7,1140.0,2
289.0,4.6,2047.0,2
49.0,4.3,36.0,1
367.0,4.6,23.0,2
112.0,4.6,241.0,2
346.0,4.6,1160.0,2
244.0,4.5,35.0,2
371.0,4.7,230.0,2
51.0,4.3,410.0,1
257.0,4.4,4.0,2
318.0,4.5,242.0,2
79.0,4.8,6.0,2
693.0,4.7,30.0,2
179.0,4.1,76.0,2
59.0,4.4,342.0,1
5.0,5.0,3.0,1
666.0,4.6,463.0,2
315.0,5.0,4.0,2
6.0,4.7,145.0,1
140.0,3.7,56.0,2
473.0,4.4,125.0,2
317.0,4.5,526.0,2
80.0,4.4,810.0,1
132.0,4.2,95.0,2
219.0,4.6,2519.0,2
,3.9,15.0,2
379.0,4.6,660.0,2
25.0,0.0,0.0,0
150.0,5.0,1.0,2
11.0,0.0,0.0,0
10.0,4.5,3876.0,1
283.0,4.3,154.0,2
669.0,4.4,63.0,2
22.0,5.0,1.0,1
,4.5,2.0,2
592.0,4.7,171.0,2
144.0,0.0,0.0,0
7.0,4.6,134.0,1
7.0,4.6,128.0,1
36.0,4.3,2074.0,1
89.0,4.5,2003.0,1
7.0,0.0,0.0,0
7.0,4.4,99.0,1
307.0,4.6,306.0,2
17.0,4.5,122.0,1
129.0,4.2,149.0,2
270.0,4.5,1047.0,2
229.0,4.4,330.0,2
148.0,4.1,98.0,2
8.0,4.6,397.0,1
17.0,0.0,0.0,0
39.0,4.2,7.0,1
8.0,4.4,8.0,1
179.0,3.0,4.0,2
46.0,4.5,7062.0,1
129.9,3.8,443.0,2
185.19,3.6,3.0,2
120.17,3.6,42.0,2
135.97,0.0,0.0,0
76.89,4.6,5.0,2
283.14,4.3,154.0,2
741.19,4.5,68.0,2
88.95,4.5,2003.0,1
15.99,4.2,892.0,1
13.99,4.5,706.0,1
11.99,4.6,216.0,1
11.99,4.5,1962.0,1
7.99,0.0,0.0,0
6.99,4.7,145.0,1
592.37,4.7,171.0,2
19.99,4.2,99.0,1
5.99,5.0,3.0,1
268.68,4.6,921.0,2
19.99,4.3,1236.0,1
82.99,4.2,94.0,2
1405.99,4.3,266.0,2
377.89,4.6,585.0,2
17.99,4.5,122.0,1
307.0,4.6,306.0,2
590.23,4.4,68.0,2
315.86,4.5,189.0,2
,4.5,2.0,2
2096.84,4.5,200.0,2
1431.03,5.0,4.0,2
13.99,4.6,665.0,1
,4.1,301.0,2
,4.4,70.0,2
7.99,4.2,28.0,1
1730.99,4.4,7.0,2
187.39,4.5,472.0,2
,4.3,9.0,2
89.95,4.5,2003.0,1
11.59,0.0,0.0,0
25.99,0.0,0.0,0
150.21,5.0,1.0,2
39.99,4.2,7.0,1
544.8,5.0,3.0,2
89.0,3.8,82.0,2
5998.0,0.0,0.0,2
975.22,4.5,115.0,2
1439.51,4.6,26.0,2
121.89,5.0,1.0,2
1079.23,4.7,175.0,2
85.79,4.5,40.0,2
15.99,4.4,618.0,1
20.76,0.0,0.0,0
39.94,0.0,0.0,0
2.99,3.8,9.0,1
124.17,5.0,1.0,2
11.99,4.2,892.0,1
32.99,3.2,14.0,1
454.98,4.3,21.0,2
36.89,4.3,2074.0,1
389.9,4.7,117.0,2
11.99,4.5,1962.0,1
512.15,5.0,13.0,2
1129.0,4.2,285.0,2
8.99,4.4,8.0,1
179.36,3.0,4.0,2
46.95,4.5,7062.0,1
7.0,4.2,28.0,1
7.0,4.7,145.0,1
57.0,1.0,1.0,0
212.0,5.0,1.0,2
1703.0,4.7,53.0,2
299.0,4.5,237.0,2
21.0,4.4,97.0,1
164.0,5.0,2.0,2
1615.0,5.0,4.0,2
7.0,4.6,134.0,1
7.0,4.0,5.0,1
137.0,4.8,1699.0,2
110.0,0.0,0.0,0
7.0,4.6,128.0,1
8.0,4.2,244.0,1
16.0,4.3,182.0,1
11.0,4.2,90.0,1
8.0,4.6,397.0,1
13.0,4.5,706.0,1
316.0,4.6,1819.0,2
10.0,4.6,42.0,1
239.0,4.2,40.0,2
8.0,4.6,3.0,1
19.0,3.5,4.0,1
45.0,3.6,30.0,1
7.0,4.6,265.0,1
38.0,4.5,333.0,1
8.0,4.4,58.0,1
76.0,4.4,20.0,2
41.0,0.0,0.0,0
22.0,5.0,1.0,1
22.0,4.3,38.0,1
45.0,3.2,19.0,1
59.0,3.1,23.0,1
26.0,3.0,1.0,0
208.0,3.6,5.0,2
,4.1,2.0,2
47.0,4.2,71.0,1
9.0,4.3,36.0,1
17.0,3.3,26.0,1
7.0,4.4,99.0,1
8.0,0.0,0.0,0
20.0,4.6,219.0,1
43.0,4.1,22.0,1
11.0,4.4,176.0,1
27.0,4.2,16.0,1
22.0,0.0,0.0,0
8.0,4.6,3985.0,1
27.0,3.2,13.0,1
19.0,4.0,22.0,1
13.0,4.7,11.0,1
11.0,4.5,117.0,1
32.0,4.4,62.0,1
7.0,0.0,0.0,0
19.0,4.8,39.0,1
9.0,4.3,355.0,1
138.0,3.6,3.0,2
38.0,3.6,180.0,1
37.0,4.0,245.0,1
220.0,0.0,0.0,0
1719.0,4.7,2.0,2
389.99,3.2,20.0,2
18.99,4.3,119.0,1
178.4,3.6,14.0,2
13.99,4.5,706.0,1
22.99,4.1,44.0,1
8.99,4.4,58.0,1
88.95,4.5,2003.0,1
13.99,4.5,706.0,1
15.99,4.2,892.0,1
11.99,4.4,311.0,1
11.99,4.6,216.0,1
7.69,4.4,99.0,1
9.49,5.0,3.0,1
16.55,4.3,182.0,1
38.99,3.6,180.0,1
76.89,4.4,20.0,2
17.99,3.3,26.0,1
41.85,0.0,0.0,0
9.99,4.3,36.0,1
22.69,4.3,38.0,1
7.99,4.4,25.0,1
6.59,4.4,49.0,1
8.99,4.6,3.0,1
11.59,4.6,216.0,1
8.42,0.0,0.0,0
11.88,4.4,9.0,1
19.38,0.0,0.0,0
16.3,5.0,2.0,1
8.35,4.6,3985.0,1
7.99,0.0,0.0,0
43.99,4.1,22.0,1
19.99,4.0,22.0,1
11.99,4.4,176.0,1
13.59,4.7,11.0,1
10.99,4.5,244.0,1
27.99,4.2,16.0,1
110.21,3.0,3.0,2
12.88,4.7,21.0,1
140.29,3.0,1.0,2
132.17,3.3,7.0,2
389.99,3.2,20.0,2
26.99,0.0,0.0,0
23.99,4.5,114.0,1
29.99,4.0,19.0,1
27.67,3.2,13.0,1
19.99,4.8,39.0,1
21.99,4.5,16.0,1
9.99,4.3,355.0,1
29.98,4.3,119.0,1
13.99,4.6,129.0,1
16.99,4.5,2141.0,1
32.95,4.4,62.0,1
9.48,4.4,71.0,1
25.99,4.7,533.0,1
46.04,3.9,4.0,1
11.99,4.5,117.0,1
12.29,4.4,2703.0,1
5.99,4.6,10307.0,1
12.95,5.0,2.0,1
6.88,4.3,26.0,1
39.94,0.0,0.0,0
274.99,5.0,1.0,2
14.98,4.8,12.0,1
38.99,3.9,722.0,1
148.0,4.1,98.0,2
14.0,4.5,69.0,1
93.0,5.0,1.0,2
140.0,3.7,56.0,2
13.0,4.6,129.0,1
19.0,3.8,5.0,1
409.0,4.8,40.0,2
88.0,4.5,2003.0,1
13.0,4.5,706.0,1
15.0,4.2,892.0,1
11.0,4.6,216.0,1
7.0,4.7,145.0,1
7.0,0.0,0.0,0
22.0,0.0,0.0,0
22.0,3.7,73.0,1
27.0,4.0,88.0,1
8.0,0.0,0.0,0
10.0,4.2,104.0,1
35.0,0.0,0.0,0
,4.5,182.0,2
89.0,4.0,43.0,2
9.0,5.0,5.0,1
16.0,4.4,19.0,1
11.0,4.6,79.0,1
29.0,4.3,1401.0,1
8.0,4.6,56.0,1
22.0,0.0,0.0,0
69.0,3.9,112.0,1
793.0,4.7,180.0,2
,4.5,121.0,2
179.0,4.7,1744.0,2
321.0,4.0,2.0,2
17.0,4.4,23.0,1
21.0,4.6,58.0,1
51.0,3.1,21.0,1
3251.0,4.3,31.0,2
11.0,4.6,52.0,1
104.0,5.0,1.0,2
52.0,0.0,0.0,0
2459.0,4.0,6.0,2
46.0,5.0,2.0,1
10905.0,4.6,3.0,2
65.0,3.7,18.0,1
24.0,5.0,5.0,1
13.0,4.6,32.0,1
8.0,0.0,0.0,0
25.0,5.0,2.0,1
10.0,0.0,0.0,0
179.0,4.3,59.0,2
44.0,4.7,449.0,1
19.0,4.5,58.0,1
31.0,5.0,1.0,1
17.0,4.5,57.0,1
6.0,4.6,11741.0,1
23.0,4.6,112.0,1
17.0,4.5,3540.0,1
11.0,4.6,986.0,1
30.0,4.3,8.0,1
206.0,0.0,0.0,0
39.0,4.6,412.0,1
33.0,5.0,1.0,1
89.0,2.0,1.0,0
99.0,0.0,0.0,0
57.0,1.0,1.0,0
138.0,3.6,3.0,2
29.98,4.3,119.0,1
21.99,0.0,0.0,0
11.99,4.5,97.0,1
120.17,3.6,42.0,2
17.99,4.5,57.0,1
6.88,4.6,11741.0,1
23.99,4.6,112.0,1
88.95,4.5,2003.0,1
15.99,4.2,892.0,1
13.99,4.5,706.0,1
11.99,4.6,216.0,1
11.99,4.5,1962.0,1
11.99,4.6,986.0,1
2128.75,4.5,314.0,2
30.59,4.3,8.0,1
206.34,0.0,0.0,0
39.99,4.6,412.0,1
659.0,4.4,139.0,2
454.27,4.6,395.0,2
181.75,4.3,217.0,2
135.99,4.2,10.0,2
401.76,4.2,62.0,2
4556.4,4.5,339.0,2
233.0,0.0,0.0,0
309.0,4.4,63.0,2
12.59,4.9,29.0,1
25.95,3.8,62.0,1
28.34,4.4,115.0,1
579.0,4.8,30.0,2
8.39,4.8,8.0,1
41.95,4.5,7062.0,1
19.79,4.6,238.0,1
16.78,4.3,105.0,1
99.99,4.3,23.0,2
34.9,4.3,102.0,1
25.99,4.0,29.0,1
35.99,4.7,181.0,1
13.49,4.3,9.0,1
25.99,0.0,0.0,0
20.99,0.0,0.0,0
25.51,5.0,3.0,1
17.02,4.6,350.0,1
5.06,4.4,784.0,1
45.99,4.5,496.0,1
7.58,3.6,10.0,1
19.99,4.7,211.0,1
376.71,4.6,385.0,2
30.99,4.3,453.0,1
22.39,4.3,127.0,1
249.99,0.0,0.0,0
59.99,4.1,166.0,1
62.99,4.1,137.0,1
233.85,0.0,0.0,0
31.95,3.8,14.0,1
1178.75,4.5,139.0,2
11.99,3.7,5.0,1
92.49,4.7,8063.0,1
,0.0,0.0,0
7473.61,4.0,13.0,2
3.99,4.5,1194.0,1
,3.8,7.0,2
78.99,5.0,1.0,2
25.99,5.0,1.0,1
10.99,4.5,3876.0,1
1719.0,4.7,2.0,2
110.21,3.0,3.0,2
18.99,4.3,119.0,1
178.4,3.6,14.0,2
7473.61,4.0,13.0,2
3.99,4.5,1194.0,1
,3.8,7.0,2
30.99,4.3,38.0,1
10.49,4.4,35.0,1
15.95,3.2,5.0,1
120.17,3.6,42.0,2
15.49,4.5,10.0,1
29.99,4.2,72.0,1
,4.2,857.0,2
11.99,4.4,311.0,1
111.99,4.5,826.0,2
12.88,4.7,21.0,1
13.99,4.5,706.0,1
140.29,3.0,1.0,2
8.99,3.5,9.0,1
14.99,4.8,14.0,1
20.53,0.0,0.0,0
7.99,3.0,1.0,0
10.99,4.6,20.0,1
8.99,5.0,10.0,1
132.17,3.3,7.0,2
39.94,0.0,0.0,0
14.98,4.8,12.0,1
274.99,5.0,1.0,2
14.9,4.5,69.0,1
